target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true
63,C01AA05,sparse,0.46338124572210815,0.5290896646132786,773.0
64,C01BC04,dense,0.9965776865160849,1.3367556468172486,1953.0
65,C01BD01,dense,0.7392197125256673,0.9336071184120466,1364.0
66,C01CA03,sparse,0.3976728268309377,0.5311430527036276,776.0
67,C01CA04,sparse,0.12251882272416154,0.13689253935660506,200.0
68,C01CA17,sparse,0.4113620807665982,1.2039698836413415,1759.0
69,C01CA24,sparse,0.02190280629705681,0.02190280629705681,32.0
70,C01DA02,sparse,0.01163586584531143,0.01163586584531143,17.0
71,C01DA08,dense,1.0,1.217659137577002,1779.0
72,C01DX16,dense,1.0,2.808350444900753,4103.0
73,C01EB15,dense,0.999315537303217,1.242984257357974,1816.0
74,C02CA04,sparse,0.5667351129363449,0.6502395619438741,950.0
75,C03AA03,dense,0.9917864476386037,5.094455852156058,7443.0
76,C03CA01,dense,1.0,12.430527036276523,18161.0
77,C03CA04,sparse,0.47638603696098564,0.47638603696098564,696.0
78,C03DA01,dense,0.9623545516769336,2.0629705681040384,3014.0
79,C03XA01,ultra,0.0034223134839151265,0.0034223134839151265,5.0
80,C04AX,dense,1.0,6.715263518138261,9811.0
81,C05CX,dense,0.7084188911704312,3.028062970568104,4424.0
82,C05CX02,sparse,0.053388090349075976,0.053388090349075976,78.0
83,C07AA05,dense,1.0,3.9623545516769334,5789.0
84,C07AB07,dense,0.7180013689253936,2.378507871321013,3475.0
85,C07AG01,sparse,0.05201916495550993,0.05201916495550993,76.0
86,C07AG02,dense,1.0,8.274469541409994,12089.0
87,C08CA01,dense,1.0,34.007529089664615,49685.0
88,C08CA04,sparse,0.05886379192334018,0.0650239561943874,95.0
89,C08CA05,sparse,0.3545516769336071,0.40451745379876797,591.0
90,C08DA01,sparse,0.3353867214236824,0.3353867214236824,490.0
91,C08DB01,dense,0.998631074606434,1.6652977412731007,2433.0
92,C09CA01,sparse,0.24435318275154005,4.242299794661191,6198.0
93,C09CA07,dense,0.757015742642026,16.204654346338124,23675.0
94,C09DB04,dense,1.0,8.65845311430527,12650.0
95,C09DX04,sparse,0.013689253935660506,0.013689253935660506,20.0
96,C10AA05,dense,1.0,40.04654346338125,58508.0
97,D01A,sparse,0.16495550992470911,0.19370294318959616,283.0
98,D01AC01,ultra,0.0013689253935660506,0.0013689253935660506,2.0
99,D06AX07,sparse,0.0485968514715948,0.0485968514715948,71.0
100,D06BB03,ultra,0.002053388090349076,0.002053388090349076,3.0
101,D07AB08,sparse,0.04243668720054757,0.04996577686516085,73.0
102,D07AC14,ultra,0.0006844626967830253,0.0006844626967830253,1.0
103,D07AC18,sparse,0.01642710472279261,0.01779603011635866,26.0
104,D07AD01,sparse,0.02943189596167009,0.03148528405201916,46.0
105,D07CC01,sparse,0.20191649555099248,0.24435318275154005,357.0
106,G01AF02,sparse,0.13483915126625598,0.14989733059548255,219.0
107,G03XC,dense,0.75564681724846,0.75564681724846,1104.0
108,G03XC01,sparse,0.19780971937029432,0.2026009582477755,296.0
109,G04BD04,dense,0.7193702943189596,1.3552361396303902,1980.0
110,G04BD12,dense,1.0,3.399726214921287,4967.0
111,G04CA02,dense,1.0,17.744695414099933,25925.0
112,G04CA04,dense,1.0,5.433949349760438,7939.0
113,G04CB01,sparse,0.4674880219028063,0.6872005475701575,1004.0
114,H01BA02,sparse,0.15879534565366188,0.15879534565366188,232.0
115,H02AB02,sparse,0.16906228610540724,0.19917864476386038,291.0
116,H02AB04,sparse,0.12251882272416154,0.1457905544147844,213.0
117,H02AB06,dense,1.0,7.203969883641341,10525.0
118,H02AB08,ultra,0.0013689253935660506,0.0013689253935660506,2.0
119,H02AB09,sparse,0.11498973305954825,0.11498973305954825,168.0
120,H03AA01,dense,1.0,4.9869952087611225,7286.0
121,H03BB02,sparse,0.4736481861738535,0.4736481861738535,692.0
122,J01AA02,sparse,0.03627652292950034,0.03696098562628337,54.0
123,J01AA07,sparse,0.024640657084188913,0.030116358658453114,44.0
124,J01AA08,sparse,0.37645448323066394,0.7173169062286106,1048.0
125,J01CA04,sparse,0.2683093771389459,0.33059548254620125,483.0
126,J01CR02,sparse,0.6632443531827515,1.325119780971937,1936.0
127,J01CR05,dense,0.999315537303217,6.2559890485968515,9140.0
