fold_id,t_end,date,mse_s1,mse_s8,skill_s1,skill_s8,delta_mse_s8_minus_s1,s1_cat500,s8_cat500,both_cat500,only_s1_cat500,only_s8_cat500
117,2368,2024-06-27,40.0148811340332,49.04464340209961,-0.1956956529074012,-0.4655164591856786,9.029762268066406,False,False,False,False,False
118,2382,2024-07-11,35.53125,46.34375,-0.1815033155917005,-0.5410461011631416,10.8125,False,False,False,False,False
119,2396,2024-07-25,63.23660659790039,69.24107360839844,-0.245639741634023,-0.3639162137281966,6.004467010498047,False,False,False,False,False
120,2410,2024-08-08,53.97172546386719,82.21875,0.099533256077294,-0.3717413972888426,28.247024536132812,False,False,False,False,False
121,2424,2024-08-22,48.431549072265625,67.99404907226562,-0.1651452343085366,-0.6357713877720705,19.5625,False,False,False,False,False
122,2438,2024-09-05,30.375,43.068450927734375,0.0372606080742622,-0.365059893246106,12.693450927734375,False,False,False,False,False
123,2452,2024-09-19,70.94493865966797,71.80803680419922,0.0150200806190645,0.0030370645381511,0.86309814453125,False,False,False,False,False
124,2466,2024-10-03,41.68303680419922,53.86606979370117,-0.1161095460571877,-0.4423237680052134,12.183032989501953,False,False,False,False,False
125,2480,2024-10-17,39.50446319580078,54.52231979370117,0.0525019561400106,-0.3076950595479029,15.01785659790039,False,False,False,False,False
126,2494,2024-10-31,43.69643020629883,172.98362731933594,0.0082744822009414,-2.926002114225308,129.2871971130371,False,False,False,False,False
127,2508,2024-11-14,39.01785659790039,57.79166793823242,0.0474114194247362,-0.4109356005301483,18.77381134033203,False,False,False,False,False
128,2522,2024-11-28,51.3586311340332,61.77083206176758,-0.1852806015568731,-0.4255786684377469,10.412200927734375,False,False,False,False,False
129,2536,2024-12-12,34.97172546386719,53.20089340209961,-0.0497141336552831,-0.5968823095380842,18.229167938232422,False,False,False,False,False
