fold_id,t_end,date,mse_s1,mse_s2,skill_s1,skill_s2,delta_mse_s2_minus_s1,s1_cat500,s2_cat500,both_cat500,only_s1_cat500,only_s2_cat500,dist_to_day_after_holiday
59,1556,2022-04-07,22.89583396911621,29.64583396911621,0.2293899391825904,0.0022037219199265,6.75,False,False,False,False,False,28
60,1570,2022-04-21,32.03125,25.651784896850582,-0.0755508919202518,0.1386598985317746,-6.379465103149418,False,False,False,False,False,15
61,1584,2022-05-05,41.5461311340332,35.25,-0.0946481182393392,0.0712409287051986,-6.296131134033203,False,False,False,False,False,1
62,1598,2022-05-19,42.251487731933594,40.58035659790039,0.1195149912146055,0.1543399403516908,-1.6711311340332031,False,False,False,False,False,10
63,1612,2022-06-02,85.23512268066406,78.54166412353516,0.0,0.0785293473701698,-6.693458557128906,False,False,False,False,False,0
64,1626,2022-06-16,53.96428680419922,45.57143020629883,0.040482569016796,0.1897126001788343,-8.39285659790039,False,False,False,False,False,9
65,1640,2022-06-30,60.28868865966797,54.599700927734375,0.0290699360295042,0.1206892653812279,-5.688987731933594,False,False,False,False,False,23
66,1654,2022-07-14,55.80803680419922,46.34077453613281,0.0259719862472541,0.1912058699438615,-9.467262268066406,False,False,False,False,False,33
67,1668,2022-07-28,51.043155670166016,40.53868865966797,0.0153011595473786,0.2179480443060341,-10.504467010498047,False,False,False,False,False,19
68,1682,2022-08-11,64.55506134033203,61.056549072265625,-0.0004151173170485,0.0538016162499925,-3.4985122680664062,False,False,False,False,False,5
69,1696,2022-08-25,48.8586311340332,39.46577453613281,-0.1005598093989446,0.1110179656463371,-9.39285659790039,False,False,False,False,False,9
70,1710,2022-09-08,61.654762268066406,58.22321319580078,-0.0203167216488115,0.0364715420763497,-3.431549072265625,False,False,False,False,False,4
71,1724,2022-09-22,46.48214340209961,42.19047546386719,0.0295460455344239,0.1191474670067963,-4.291667938232422,False,False,False,False,False,9
72,1738,2022-10-06,60.72321319580078,49.56696319580078,-0.0592907590737332,0.1353253013908267,-11.15625,False,False,False,False,False,2
73,1752,2022-10-20,54.18452453613281,44.126487731933594,-0.0481591803958789,0.1464060336266387,-10.058036804199219,False,False,False,False,False,9
74,1766,2022-11-03,97.52529907226562,80.32588958740234,-0.0323551340762486,0.1497094056245864,-17.19940948486328,False,False,False,False,False,23
75,1780,2022-11-17,68.29762268066406,60.5461311340332,0.0005443919479116,0.1139783797350432,-7.751491546630859,False,False,False,False,False,37
76,1794,2022-12-01,67.45088958740234,52.962799072265625,-0.0772393165678864,0.154145930096295,-14.488090515136719,False,False,False,False,False,25
77,1808,2022-12-15,55.96131134033203,44.06993865966797,0.0372247511340725,0.2418075069304435,-11.891372680664062,False,False,False,False,False,11
78,1822,2022-12-29,93.4404754638672,80.08036041259766,-0.0223712554056181,0.123807341498159,-13.360115051269545,False,False,False,False,False,3
79,1836,2023-01-12,88.67411041259766,84.46875,0.0295266974463094,0.0755512923258358,-4.205360412597656,False,False,False,False,False,10
80,1850,2023-01-26,113.84821319580078,170.0416717529297,0.126404488133061,-0.3047867604055618,56.193458557128906,False,False,False,False,False,1
81,1864,2023-02-09,92.4345245361328,84.15178680419922,0.0490945205969721,0.1343018685362703,-8.28273773193358,False,False,False,False,False,15
82,1878,2023-02-23,101.2827377319336,86.11012268066406,-0.0083558141068158,0.142700475886503,-15.172615051269531,False,False,False,False,False,7
83,1892,2023-03-09,71.1235122680664,59.880950927734375,0.001504121956089,0.1593373166198675,-11.242561340332031,False,False,False,False,False,7
84,1906,2023-03-23,84.19047546386719,84.84970092773438,0.0405481154293492,0.0330354471592218,0.6592254638671875,False,False,False,False,False,21
85,1920,2023-04-06,91.2827377319336,75.61756134033203,0.0063176664440878,0.1768450785171601,-15.665176391601562,False,False,False,False,False,32
86,1934,2023-04-20,71.9375,59.488094329833984,0.0803036356372353,0.239465034536681,-12.449405670166016,False,False,False,False,False,18
87,1948,2023-05-04,84.9360122680664,78.24256134033203,0.039269475194513,0.1149806188053811,-6.693450927734375,False,False,False,False,False,4
88,1962,2023-05-18,97.3452377319336,77.47767639160156,-0.1837000116521658,0.0578858443997983,-19.86756134033203,False,False,False,False,False,10
89,1976,2023-06-01,67.39137268066406,61.78422546386719,0.0693750117208875,0.1468055655936689,-5.607147216796875,False,False,False,False,False,2
90,1990,2023-06-15,63.561012268066406,47.35268020629883,0.0103338536432384,0.2627029861987203,-16.208332061767578,False,False,False,False,False,8
91,2004,2023-06-29,75.55952453613281,62.9226188659668,0.0433340381654517,0.2033310417434809,-12.636905670166016,False,False,False,False,False,22
92,2018,2023-07-13,81.30506134033203,74.55506134033203,0.0562253840144665,0.1345781772217231,-6.75,False,False,False,False,False,34
93,2032,2023-07-27,81.55952453613281,78.65178680419922,0.0412482695210048,0.0754294224657519,-2.9077377319335938,False,False,False,False,False,20
94,2046,2023-08-10,65.92411041259766,61.10714340209961,0.0381266010249231,0.1084091183336918,-4.816967010498047,False,False,False,False,False,6
95,2060,2023-08-24,40.56547546386719,37.994049072265625,0.0788050761549722,0.137199188682864,-2.5714263916015625,False,False,False,False,False,8
96,2074,2023-09-07,36.894344329833984,29.787202835083008,-0.0457651060542725,0.1556858402630169,-7.107141494750977,False,False,False,False,False,22
97,2088,2023-09-21,61.41964340209961,62.787200927734375,0.0775523245627956,0.0570132886669062,1.3675575256347656,False,False,False,False,False,8
98,2102,2023-10-05,67.38243865966797,54.50446319580078,-0.4102276240087474,-0.1407081898401734,-12.877975463867188,False,False,False,False,False,1
99,2116,2023-10-19,63.9523811340332,48.58333206176758,-0.2877090457835671,0.0217534506005743,-15.369049072265625,False,False,False,False,False,9
100,2130,2023-11-02,51.2976188659668,41.94047546386719,0.0512206376342044,0.2242864591454513,-9.35714340209961,False,False,False,False,False,23
101,2144,2023-11-16,91.06993865966795,82.80506134033203,-0.0352357911908787,0.0587150441418732,-8.264877319335923,False,False,False,False,False,37
102,2158,2023-11-30,87.35713958740234,83.4672622680664,0.1661363717134336,0.2032670198826743,-3.8898773193359375,False,False,False,False,False,26
103,2172,2023-12-14,132.20535278320312,80.79911041259766,-0.5197316959778866,0.0711951784418023,-51.40624237060547,False,False,False,False,False,12
104,2186,2023-12-28,69.875,70.7202377319336,0.0844463291356635,0.0733714023632148,0.8452377319335938,False,False,False,False,False,2
105,2200,2024-01-11,178.83482360839844,81.53571319580078,-1.236683352880259,-0.0197654388029513,-97.29911041259766,False,False,False,False,False,9
106,2214,2024-01-25,66.15327453613281,69.19493865966797,0.0530205655877937,0.009479359327415,3.0416641235351562,False,False,False,False,False,18
107,2228,2024-02-08,39.94791793823242,38.24553680419922,-0.0710581305951398,-0.0254149719755267,-1.7023811340332031,False,False,False,False,False,4
108,2242,2024-02-22,67.14434814453125,63.412200927734375,0.0110899137675885,0.066057429693875,-3.732147216796875,False,False,False,False,False,9
109,2256,2024-03-07,68.12797546386719,55.51339340209961,-0.1965083711113884,0.025037226452736,-12.614582061767578,False,False,False,False,False,3
110,2270,2024-03-21,69.26786041259766,75.4389877319336,0.0796971084752091,-0.0022933887355232,6.1711273193359375,False,False,False,False,False,17
111,2284,2024-04-04,45.09375,45.744049072265625,0.0129637549583285,-0.0012703407742984,0.650299072265625,False,False,False,False,False,7
112,2298,2024-04-18,39.793155670166016,23.202381134033203,-0.256980394718038,0.2670865704143905,-16.590774536132812,False,False,False,False,False,7
113,2312,2024-05-02,39.40625,45.17856979370117,0.0713634609845633,-0.0646653942176687,5.772319793701172,False,False,False,False,False,4
114,2326,2024-05-16,80.02827453613281,66.51338958740234,0.0136455775737661,0.1802175374845516,-13.514884948730469,False,False,False,False,False,0
115,2340,2024-05-30,64.32887268066406,35.89731979370117,-0.6636776870307368,0.0716210703481124,-28.43155288696289,False,False,False,False,False,8
116,2354,2024-06-13,34.85118865966797,24.05208396911621,-0.2875205270135674,0.111434845735155,-10.799104690551758,False,False,False,False,False,6
117,2368,2024-06-27,40.0148811340332,25.056547164916992,-0.1956956529074012,0.2512784326009375,-14.958333969116211,False,False,False,False,False,20
118,2382,2024-07-11,35.53125,25.5238094329834,-0.1815033155917005,0.1512692215556557,-10.007440567016602,False,False,False,False,False,34
