target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_valid_seeds,positive_seed_count,negative_seed_count,mean_skill,median_skill,std_skill,mean_mse,mean_naive_mse,mean_delta_mse,mean_mae,mean_observed,max_observed,beats_naive
0,A02BA01,sparse,0.059053578412201796,0.07195932733672272,184.0,5,0,3,-0.0030505709624795594,-0.0004934747145186602,0.005041963327346278,0.3378406593406594,0.33681318681318684,0.0010274725274725172,0.22373626373626374,0.06208791208791209,4.0,False
42,N05CD08,sparse,0.05318732890105592,0.07352366053969496,188.0,5,1,4,-0.005768817204301113,-0.009166666666666767,0.008748701239853114,0.10278736263736263,0.1021978021978022,0.0005895604395604436,0.09897802197802198,0.056043956043956046,3.0,False
45,R05CB06,sparse,0.05279624560031287,0.06570199452483379,168.0,5,0,3,-0.006247474747474735,-0.0006818181818180058,0.011123968112352584,0.32841263736263737,0.3263736263736264,0.0020390109890109807,0.21157142857142858,0.056043956043956046,4.0,False
36,N01AX10,sparse,0.05240516229956981,0.07352366053969496,188.0,5,0,4,-0.006868965517241454,-0.007034482758620841,0.0059181470852548695,0.08021758241758241,0.07967032967032966,0.0005472527472527522,0.07889010989010989,0.054395604395604404,2.0,False
3,A04AA01,sparse,0.009777082518576457,0.02972233085647243,76.0,5,0,1,-0.0073636363636363725,0.0,0.016465591470680288,0.006088461538461538,0.006043956043956044,4.450549450549443e-05,0.005043956043956044,0.004945054945054945,2.0,False
1,A03AB02,sparse,0.03637074696910442,0.05631599530700039,144.0,5,0,4,-0.009013392857142755,-0.0036160714285713436,0.012947731230645979,0.06209313186813187,0.06153846153846154,0.0005546703296703245,0.06260989010989011,0.03296703296703297,1.0,False
2,A03FA01,sparse,0.2334767305436058,0.3038717246773563,777.0,5,2,3,-0.023606217616580393,-0.0265436096718481,0.05214793097337044,0.6512835164835165,0.6362637362637362,0.015019780219780277,0.4365934065934066,0.25274725274725274,3.0,False
11,B05XA03,sparse,0.1638639030113414,0.2229174814235432,570.0,5,2,3,-0.03917189189189192,-0.004537837837837788,0.07127862969966989,0.5281505494505494,0.5082417582417582,0.019908791208791233,0.3886373626373626,0.22362637362637364,3.0,False
19,J01CR02,sparse,0.15526007039499412,0.19554165037152912,500.0,5,1,4,-0.04416784452296818,-0.06927120141342757,0.048657578575528514,0.3247247252747253,0.310989010989011,0.013735714285714273,0.2681648351648352,0.13296703296703297,3.0,False
18,H02AB08,sparse,0.20258114978490419,0.2835353930387172,725.0,5,0,5,-0.14830973782771548,-0.03273595505617988,0.1855343109265982,0.842304120879121,0.7335164835164835,0.10878763736263744,0.47351098901098904,0.24340659340659337,3.0,False
4,A10AB05,ultra,0.00039108330074305825,0.00039108330074305825,1.0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,False
5,A10AE04,ultra,0.0007821666014861165,0.0007821666014861165,2.0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,False
14,C08CA04,ultra,0.0019554165037152915,0.0023464998044583495,6.0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,False
31,M03AB01,ultra,0.003910833007430583,0.016816581931951506,43.0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,False
32,M03AC09,ultra,0.004692999608916699,0.023464998044583497,60.0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,False
43,N07AA01,ultra,0.004692999608916699,0.023464998044583497,60.0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,False
